"age","identifies_as_man","identifies_as_woman","identifies_as_hispanic_or_latinx","identifies_as_black","identifies_as_white","highest_education_level","length_in_this_facility","state","party","how_often_discuss_politics","how_get_news","ever_voted","direction_country_headed","how_often_officials_acting_in_your_interest","which_party_for_cj_reform","stance_on_assault_weapons_ban","stance_on_marijuana_legalization","stance_on_tightening_border_security","stance_on_raise_min_wage","race_affects_politics","should_incarcerated_vote","incarceration_impacts_motivation_to_vote","politics_changed_since_incarcerated","cj_important_issue_eliminating_mandatory_mins","cj_important_issue_reducing_racial_bias","cj_important_issue_abolishing_death_penalty","cj_important_issue_lowering_incarceration_rates_rural_communities","cj_important_issue_improving_prison_conds","cj_important_issue_restoring_voting_rights","cj_important_issue_reducing_prison_pop","cj_important_issue_ending_war_on_drugs","cj_important_issue_ending_private_prisons","cj_important_issue_lowering_sentences_violent_crimes","cj_important_issue_raising_wages_incarcerated_workers","who_vote_for","approve_disapprove_trump","n"
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Rarely","Local TV news","No","In between",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Rarely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Occasionally","Local TV news","Yes","Wrong track","Rarely","Neither is committed","Strongly support","Strongly support","Undecided","Strongly support","A great deal","Yes",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Very Frequently","Cable news","No","In between","Very often",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Occasionally","Local TV news","No","Right direction","Rarely","Neither is committed","Undecided","Strongly support","Support","Strongly support","Not at all","Yes","Slightly increased my motivation to vote","Yes","0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Rarely","Local TV news","No","No opinion","Don't know / No opinion","Don't know / No opinion","Undecided","Undecided","Undecided","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Very Frequently","National public radio","Yes","In between","Rarely","Don't know / No opinion","Support","Strongly support","Oppose","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Rarely","Local TV news","No","No opinion","Don't know / No opinion","Don't know / No opinion","Strongly support","Strongly support","Oppose","Strongly support","A great deal","Yes","No impact","No","0","0","0","0","0","0","0","0","1","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Rarely","Local TV news","No","In between","Sometimes","Republicans","Oppose","Strongly support","Undecided","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Occasionally","Local TV news","No","No opinion","Rarely","Democrats","Undecided","Strongly support","Undecided","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Never","Local TV news","No","In between","Rarely","Democrats","Strongly support","Support","Oppose","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Occasionally","National public radio","No","In between","Rarely","Don't know / No opinion","Strongly oppose","Strongly support","Oppose","Support","A great deal","Yes","Increased my motivation to vote","Yes","0","0","0","1","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Occasionally","Local TV news","No","In between","Never","Don't know / No opinion","Undecided","Strongly support","Undecided","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Occasionally","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Frequently","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Frequently",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Occasionally","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Never","Local TV news","No","In between","Don't know / No opinion","Republicans","Undecided","Strongly oppose","Support","Strongly support","A great deal","Yes",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA,206
NA,"FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,"AR",NA,"Very Frequently","Local TV news","No","In between","Never","Don't know / No opinion","Strongly support","Strongly support","Oppose","Strongly support","Somewhat","Yes","Increased my motivation to vote","Yes","0","0","0","0","0","0","1","0","0","0","0",NA,NA,206
