"age","identifies_as_man","identifies_as_woman","identifies_as_hispanic_or_latinx","identifies_as_black","identifies_as_white","highest_education_level","length_in_this_facility","state","party","how_often_discuss_politics","how_get_news","ever_voted","direction_country_headed","how_often_officials_acting_in_your_interest","which_party_for_cj_reform","stance_on_assault_weapons_ban","stance_on_marijuana_legalization","stance_on_tightening_border_security","stance_on_raise_min_wage","race_affects_politics","should_incarcerated_vote","incarceration_impacts_motivation_to_vote","politics_changed_since_incarcerated","cj_important_issue_eliminating_mandatory_mins","cj_important_issue_reducing_racial_bias","cj_important_issue_abolishing_death_penalty","cj_important_issue_lowering_incarceration_rates_rural_communities","cj_important_issue_improving_prison_conds","cj_important_issue_restoring_voting_rights","cj_important_issue_reducing_prison_pop","cj_important_issue_ending_war_on_drugs","cj_important_issue_ending_private_prisons","cj_important_issue_lowering_sentences_violent_crimes","cj_important_issue_raising_wages_incarcerated_workers","who_vote_for","approve_disapprove_trump"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Occasionally","Newspapers","Yes","In between","Sometimes","Democrats","Strongly oppose","Oppose","Oppose","Strongly support","Not sure","Yes","No impact","No","0","0","0","0","0","1","1","0","0","0","1","Donald Trump","Approve"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Frequently","Local TV news, Word of mouth","No","In between","Rarely","Neither is committed","Strongly support","Strongly support","Support","Support","Not at all","Yes","Increased my motivation to vote","Yes","0","0","0","0","1","1","1","0","0","0","0","Julian Castro","Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Frequently","Local TV news","Yes","Wrong track","Rarely","Democrats","Support","Strongly support","Support","Support","Not at all","Yes","No impact","Yes","1","0","0","0","0","0","1","0","0","1","0","Cory Booker","Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Frequently","Local TV news","Yes","In between","Sometimes","Democrats","Strongly support","Support","Support","Strongly support","Somewhat","Yes","Increased my motivation to vote","Yes","0","0","1","0","1","0","1","0","0","1","0",NA,"Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Frequently","Local TV news","Yes","Wrong track","Sometimes","Don't know / No opinion","Oppose","Support","Undecided","Strongly support","Not at all","Yes","Increased my motivation to vote","Yes","1","0","0","1","0","0","1","0","0","0","0","Elizabeth Warren","No opinion"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Never","Local TV news","No","Right direction","Don't know / No opinion","Democrats","Support","Support","Strongly support","Strongly support","Not sure","Yes","No impact","No","0","0","0","1","0","1","0","0","0","0","1","Don't Know / Would not vote","Approve"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Rarely","Local TV news","No","In between","Rarely","Republicans","Strongly support","Undecided","Undecided","Support","Not at all","Yes","Slightly increased my motivation to vote","Yes","0","1","0","0","0","1","1","0","0","0","0","Joe Biden","Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Occasionally","Cable news","No","In between","Rarely","Democrats","Strongly support","Strongly support","Undecided","Strongly support","Somewhat","Yes","Slightly increased my motivation to vote","Yes","1","0","0","0","0","1","1","0","0","0","0","Tom Steyer","Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Occasionally","Local TV news","Yes","In between","Rarely","Democrats","Strongly support","Undecided","Undecided","Strongly support","Not at all","Yes","Increased my motivation to vote","Yes","0","0","0","0","1","1","1","0","0","0","0","Joe Biden","Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Frequently","Local TV news","No","In between","Rarely","Democrats","Undecided","Strongly support","Strongly oppose","Strongly support","Somewhat","No","Increased my motivation to vote","Yes","0","0","0","0","0","0","1","0","0","0","0","Don't Know / Would not vote","Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Frequently","Local TV news","No","In between","Sometimes","Don't know / No opinion","Strongly support","Strongly support","Undecided","Undecided","A great deal","Yes","Slightly increased my motivation to vote","Yes","1","0","0","0","0","0","1","1","0","0","0","Joe Biden","Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Frequently","Local TV news","Yes","Wrong track","Sometimes","Democrats","Strongly support","Strongly support","Strongly oppose","Strongly support","Not at all","No","Increased my motivation to vote","Yes","0","1","0","0","1","0","1","0","0","0","0","Elizabeth Warren","Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Never","Local TV news","Yes","Wrong track","Rarely","Democrats","Strongly support","Support","Undecided","Support","Not at all","Yes","Increased my motivation to vote","No","0","0","0","0","1","0","1","0","0","0","1","Don't Know / Would not vote","Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Frequently","Local TV news","Yes","In between","Sometimes","Democrats","Strongly support","Support","Support","Support","Not at all","Yes","Slightly increased my motivation to vote","No","1","0","0","0","1","0","0","0","0","0","1","Don't Know / Would not vote","Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Occasionally","Local TV news","No","Wrong track","Sometimes","Democrats","Strongly support","Strongly support","Oppose","Strongly support","Not sure","Yes","Slightly increased my motivation to vote","No","0","0","1","0","0","0","1","0","0","1","0","Don't Know / Would not vote","Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Frequently","Local TV news","No","Right direction","Sometimes","Democrats","Undecided","Undecided","Undecided","Strongly support","Not sure","Don't know / No opinion","No impact","Yes","0","0","0","0","1","0","1","0","0","0","0","Don't Know / Would not vote","No opinion"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Occasionally","Local TV news","Yes","Wrong track","Never","Neither is committed","Strongly oppose","Strongly support","Strongly oppose","Strongly support","Not at all","Yes","Decreased my motivation to vote","Yes","0","0","0","0","1","0","0","0","0","1","1","Amy Klobuchar","Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Rarely","Newspapers","No","Wrong track","Rarely","Don't know / No opinion","Strongly oppose","Strongly support","Strongly support","Strongly support","A great deal","Yes","No impact","Yes","0","0","0","0","0","0","1","0","1","0","1","Don't Know / Would not vote","No opinion"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Rarely","Word of mouth","Yes","No opinion","Sometimes","Neither is committed","Undecided","Support","Undecided","Support","Somewhat","Don't know / No opinion","No impact","No","1","0","0","0","0","0","1","0","0","0","1","Don't Know / Would not vote","No opinion"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Occasionally","Local TV news","Yes","In between","Rarely","Democrats","Support","Strongly support","Undecided","Support","Somewhat","Yes","No impact","No","0","0","0","1","0","0","1","1","0","0","0","Don't Know / Would not vote","Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Rarely","Local TV news","No","In between","Rarely","Democrats","Strongly support","Support","Strongly oppose","Strongly support","A great deal","Yes","Increased my motivation to vote","No","0","0","0","0","0","0","1","0","0","1","1","Elizabeth Warren","Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Rarely","Local TV news","Yes","In between","Rarely","Neither is committed","Strongly oppose","Strongly support","Undecided","Support","Somewhat","Yes","No impact","No","1","1","0","0","0","0","1","0","0","0","0","Kamala Harris","Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Frequently","Local TV news","Yes","Wrong track","Rarely","Democrats","Support","Strongly support","Support","Strongly support","Not at all","Yes","Increased my motivation to vote","No","0","1","0","0","1","0","1","0","0","0","0","Andrew Yang","Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Rarely","Newspapers","Yes","In between","Sometimes","Democrats","Undecided","Undecided","Undecided","Support","Not sure","Don't know / No opinion","No impact","No","1","0","0","0","0","0","1","1","0","0","0","Kamala Harris","Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Occasionally","Local TV news","Yes","Wrong track","Sometimes","Democrats","Support","Support","Support","Support","Not at all","Yes","Increased my motivation to vote","No","1","0","0","0","0","0","1","1","0","0","0","Andrew Yang","Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Never","Local TV news","No","No opinion","Don't know / No opinion","Don't know / No opinion","Support","Strongly support","Undecided","Strongly support","Not at all","Don't know / No opinion","No impact","No","0","0","0","1","0","0","1","1","0","0","0","Don't Know / Would not vote","No opinion"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Never","Do not have access to news","Yes","Right direction","Don't know / No opinion","Democrats","Support","Support","Support","Support","Not sure","Yes","No impact","No","0","0","0","0","1","0","0","0","0","0","0","Don't Know / Would not vote","No opinion"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Never","Local TV news","No","In between","Rarely","Don't know / No opinion","Undecided","Support","Undecided","Strongly support","Not at all","Don't know / No opinion","No impact","No","0","0","0","0","1","0","1","0","0","0","1","Joe Biden","Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Occasionally","Local TV news","Yes","In between","Sometimes","Democrats","Undecided","Strongly support","Strongly support","Strongly support","Not at all","Yes","Decreased my motivation to vote","No","0","0","0","0","0","1","1","0","0","0","1",NA,NA
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Frequently","Cable news","Yes","Wrong track","Rarely","Democrats","Undecided","Strongly support","Undecided","Strongly support","Not at all","Yes","Increased my motivation to vote","Yes","0","0","0","0","0","0","1","0","1","0","1","Don't Know / Would not vote","Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Occasionally","Local TV news","No","Wrong track","Rarely","Democrats","Support","Undecided","Undecided","Strongly support","A great deal","Don't know / No opinion","Decreased my motivation to vote","Yes","0","0","0","1","0","0","1","0","0","0","1",NA,"Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"High school or GED or less","10 years or less",NA,"The Democratic party","Very Frequently","Word of mouth","Yes","Wrong track","Sometimes","Democrats","Undecided","Undecided","Undecided","Strongly support","Not sure","Yes","Slightly decreased my motivation to vote","Yes","1","0","0","0","0","0","1","0","0","0","0","Don't Know / Would not vote","No opinion"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Never","Local TV news","No","In between","Rarely","Don't know / No opinion","Strongly support","Strongly oppose","Strongly support","Strongly support","Not sure","Yes","Slightly decreased my motivation to vote","Yes","0","0","0","0","0","1","0","0","0","1","0","Cory Booker","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Occasionally","Local TV news","Yes","Wrong track","Sometimes","Republicans","Strongly support","Strongly support","Support","Strongly support","Not sure","Don't know / No opinion","Increased my motivation to vote","Yes","0","0","1","0","0","0","1","0","0","1","0","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Very Frequently","Local TV news","No","Right direction","Sometimes","Republicans","Strongly support","Strongly oppose","Strongly support","Strongly support","Not sure","Yes","No impact","No","0","0","0","0","1","0","1","0","0","1","0","Donald Trump","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Occasionally","Local TV news","No","In between","Rarely","Republicans","Strongly support","Strongly support","Support","Strongly support","A great deal","Yes","Increased my motivation to vote","No","0","0","0","0","1","1","0","0","0","0","1","Amy Klobuchar","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Rarely","Local TV news","Yes","Wrong track","Rarely","Don't know / No opinion","Strongly support","Strongly oppose","Undecided","Strongly oppose","Not at all","Yes","Increased my motivation to vote","Yes","0","0","0","1","0","0","1","0","0","0","1","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Frequently","Local TV news","Yes","In between","Sometimes","Don't know / No opinion","Support","Strongly support","Oppose","Strongly support","Somewhat","Yes","Increased my motivation to vote","Yes","0","0","0","0","0","0","0","1","0","0","0","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Never","Local TV news","No","Right direction","Very often","Democrats","Support","Strongly support","Strongly support","Support","Somewhat","Yes","No impact","Yes","1","0","0","0","0","1","1","0","0","0","0","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Occasionally","Local TV news","Yes","Wrong track","Sometimes","Don't know / No opinion","Strongly support","Strongly support","Support","Strongly support","Not sure","No","No impact","Yes","1","1","0","0","1","0","1","0","0","0","0","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Frequently","Local TV news","Yes","Right direction","Sometimes","Republicans","Strongly oppose","Undecided","Support","Strongly support","A great deal","Yes","No impact","No","0","0","0","0","0","0","1","0","0","0","0","Donald Trump","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Frequently","Cable news","Yes","Right direction","Sometimes","Republicans","Strongly oppose","Strongly support","Strongly support","Strongly support","Not at all","Yes","Increased my motivation to vote","Yes","0","0","0","0","1","0","1","0","0","0","1","Donald Trump","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Frequently","Local TV news","Yes","Wrong track","Rarely","Republicans","Strongly support","Support","Undecided","Strongly support","Not at all","Yes","Increased my motivation to vote","No","0","1","0","0","1","0","0","0","0","1","0","Don't Know / Would not vote","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Occasionally","Local TV news","No","In between","Rarely","Republicans","Strongly support","Strongly support","Strongly support","Strongly support","Somewhat","Don't know / No opinion","No impact","No","0","0","0","0","1","0","1","1","0","0","0","Don't Know / Would not vote","No opinion"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Rarely","Local TV news","Yes","Wrong track","Sometimes","Don't know / No opinion","Support","Undecided","Support","Strongly support","Not at all","Yes","Slightly increased my motivation to vote","Yes","0","0","0","1","0","0","1","0","0","0","1","Donald Trump","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Rarely","Local TV news","Yes","In between","Never","Republicans","Strongly support","Strongly support","Oppose","Strongly support","Not sure","Yes","Increased my motivation to vote","No","0","0","0","0","1","0","1","0","0","0","1","Tom Steyer","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Never","Local TV news","Yes","Right direction","Very often","They're equally committed","Strongly oppose","Strongly support","Undecided","Strongly support","Not sure","Yes","Slightly increased my motivation to vote","No","0","0","0","0","1","1","0","0","0","0","1","Donald Trump","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Frequently","Local TV news","No","In between","Sometimes","They're equally committed","Support","Support","Support","Strongly support","Not at all","Don't know / No opinion","Slightly increased my motivation to vote","Yes","1","0","0","0","0","0","1","0","1","0","0","Amy Klobuchar","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Frequently","Local TV news","No","In between","Rarely","Republicans","Support","Undecided","Undecided","Strongly support","Not at all","Yes","Increased my motivation to vote","Yes","1","0","0","0","0","0","1","0","0","0","1","Donald Trump","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Occasionally","Local TV news","No","Right direction","Rarely","Republicans","Undecided","Strongly support","Support","Undecided","Not at all","Yes","Increased my motivation to vote","No","0","0","0","1","0","0","1","1","0","0","0","Donald Trump","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Occasionally","Local TV news","Yes","In between","Never","Republicans","Strongly support","Strongly support","Oppose","Strongly support","Not at all","Yes","Slightly increased my motivation to vote","Yes","0","0","0","1","0","0","1","0","0","0","1","Tom Steyer","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Occasionally","Cable news","Yes","In between","Sometimes","Republicans","Oppose","Support","Strongly support","Strongly support","Not at all","Yes","Decreased my motivation to vote","No","1","0","0","0","0","0","0","1","0","0","1","Donald Trump","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Occasionally","Local TV news","Yes","In between","Very often","They're equally committed","Support","Support","Undecided","Strongly support","Somewhat","No","No impact","Yes","0","0","0","1","1","0","1","0","0","0","0","Don't Know / Would not vote","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Never","Cable news","Yes","Wrong track","Never","They're equally committed","Strongly support","Strongly oppose","Strongly support","Strongly support","A great deal","Yes","Decreased my motivation to vote","Yes","0","0","0","0","0","0","0","1","1","0","1","Elizabeth Warren","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Occasionally","Newspapers","Yes","No opinion","Very often","Republicans","Strongly support","Undecided","Strongly support","Strongly support","Not at all","Yes","Increased my motivation to vote","No","0","0","0","1","0","1","0","0","0","0","1","Donald Trump","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Frequently","Local TV news","Yes","Wrong track","Rarely","Democrats","Strongly support","Support","Strongly support","Strongly support","Not at all","Yes","Increased my motivation to vote","Yes","1","0","0","0","0","0","0","0","0","1","1","Bernie Sanders","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Very Frequently","Local TV news","No","Right direction","Rarely","Neither is committed","Support","Support","Strongly support","Support","Somewhat","Yes","Increased my motivation to vote","Yes","1","0","0","1","0","0","1","0","0","0","0","Donald Trump","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Very Frequently","National public radio","Yes","Right direction","Sometimes","Republicans","Oppose","Support","Strongly support","Support","Somewhat","Yes","Increased my motivation to vote","Yes","0","0","1","0","0","0","1","0","0","0","1","Donald Trump","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Rarely","Local TV news","No","In between","Sometimes","Don't know / No opinion","Support","Support","Oppose","Support","Not sure","Yes","Slightly increased my motivation to vote","No","0","0","0","0","0","1","1","0","0","1","0","Don't Know / Would not vote","No opinion"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Very Frequently","Local TV news","No","In between","Rarely","Neither is committed","Strongly support","Support","Undecided","Support","Not at all","Yes","Slightly increased my motivation to vote","Yes","0","0","1","0","0","0","1","0","0","1","0","Bernie Sanders","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Rarely","Local TV news","No","No opinion","Rarely","Don't know / No opinion","Strongly support","Strongly oppose","Undecided","Strongly support","Not sure","Yes","Increased my motivation to vote","Yes","0","0","0","0","0","0","1","1","0","1","0","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent","Very Frequently","Do not read / watch / listen to the news","Yes","In between","Sometimes","Democrats","Support","Support","Support","Strongly support","Not sure","Yes","Increased my motivation to vote","Yes","0","0","0","0","1","0","1","0","0","0","0","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Frequently","Local TV news","No","In between","Rarely","Don't know / No opinion","Strongly support","Strongly support","Strongly support","Strongly support","A great deal","Yes","No impact","Yes","0","0","1","0","0","0","0","0","0","1","1","Bernie Sanders","No opinion"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Never","Do not read/watch/listen to news","No","Wrong track","Never","Don't know / No opinion","Oppose","Undecided","Strongly support","Strongly support","Not sure","No","Slightly decreased my motivation to vote","Yes","0","0","1","0","0","0","0","1","0","1","0","Don't Know / Would not vote","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Very Frequently","Newspapers","No","Wrong track","Sometimes","They're equally committed","Oppose","Strongly oppose","Strongly support","Strongly support","Not at all","Yes","Slightly increased my motivation to vote","No","1","0","1","0","0","0","0","0","0","1","0","Andrew Yang","No opinion"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Occasionally","Local radio","Yes","Wrong track","Rarely","Neither is committed","Strongly support","Strongly support","Undecided","Strongly support","Not sure","Yes","Increased my motivation to vote","Yes","0","0","0","0","1","0","0","0","0","1","1","Kamala Harris","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Frequently","Newspapers, Local radio, Local TV news, Cable news","Yes","Wrong track","Never","Democrats","Strongly support","Strongly support","Strongly support","Strongly support","Not at all","Yes","Increased my motivation to vote","Yes","1","0","0","0","0","1","0","0","0","1","0",NA,"Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Democratic party","Frequently","Local radio, Local TV news, Word of mouth","Yes","Wrong track","Never","Democrats","Strongly support","Strongly support","Support","Strongly support","Somewhat","Yes","Increased my motivation to vote","Yes","0","0","0","1","0","0","1","0","0","1","0","Bernie Sanders","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Occasionally","Local TV news","No","Right direction","Sometimes","Neither is committed","Support","Support","Undecided","Support","Somewhat","Yes","No impact","No","0","0","0","0","0","0","1","0","0","1","1","Donald Trump","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Frequently","Local TV news","Yes","Right direction","Very often","Republicans","Strongly support","Support","Strongly support","Support","Somewhat","Yes","Increased my motivation to vote","Yes","1","0","0","0","0","0","0","0","0","1","1","Donald Trump","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Frequently","Local TV news","Yes","Wrong track","Rarely","Republicans","Strongly support","Strongly oppose","Strongly support","Strongly support","Not at all","Yes","Increased my motivation to vote","Yes","0","0","0","0","1","0","0","1","0","0","0","Donald Trump","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Frequently","Local TV news","No","In between","Rarely","Neither is committed","Strongly support","Support","Oppose","Strongly support","Not at all","Yes","Increased my motivation to vote","Yes","0","0","0","0","0","0","1","0","0","1","1","Tom Steyer","Disapprove"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Rarely","Local radio","No","In between","Sometimes","They're equally committed","Strongly support","Strongly oppose","Strongly support","Undecided","Not at all","Yes","Increased my motivation to vote","Yes","1","0","0","0","0","0","1","0","0","1","0","Donald Trump","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Very Frequently","Cable news","Yes","Wrong track","Sometimes","Republicans","Strongly support","Strongly support","Strongly support","Strongly support","A great deal","Yes","No impact","No","0","0","0","0","1","0","0","0","0","1","1","Donald Trump","Approve"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Republican party","Frequently","Local TV news","Yes","Right direction","Sometimes","Republicans","Strongly support","Oppose","Strongly support","Support","Not sure","Yes","Increased my motivation to vote","Yes","1","0","1","0","0","0","1","0","0","0","0","Donald Trump","Approve"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"Trade/technical/vocational training, Associate degree, college degree, or more","10 years or less",NA,"Independent","Rarely","Local TV news","No","In between","Don't know / No opinion","Don't know / No opinion","Undecided","Undecided","Undecided","Strongly support","Somewhat","No","No impact","Yes","0","0","0","0","1","0","1","1","0","0","0","Don't Know / Would not vote","No opinion"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"Trade/technical/vocational training, Associate degree, college degree, or more","10 years or less",NA,"Independent","Occasionally","Local TV news","No","In between","Sometimes","Neither is committed","Strongly support","Oppose","Support","Undecided","Not at all","Yes","Increased my motivation to vote","No","0","0","0","1","0","0","1","1","0","0","0","Bernie Sanders","Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"Trade/technical/vocational training, Associate degree, college degree, or more","10 years or less",NA,"Independent","Occasionally","Local TV news","No","Wrong track","Never","Don't know / No opinion","Strongly support","Strongly support","Strongly support","Strongly support","Not at all","No","Increased my motivation to vote","Yes","0","0","0","1","0","0","1","0","0","0","1","Don't Know / Would not vote","Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"Trade/technical/vocational training, Associate degree, college degree, or more","10 years or less",NA,"Independent","Frequently","Cable news","Yes","In between","Sometimes","Neither is committed","Oppose","Support","Support","Strongly support","Not at all","Yes","No impact","No","1","0","1","0","0","0","1","0","0","0","0","Don't Know / Would not vote","No opinion"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"Trade/technical/vocational training, Associate degree, college degree, or more","10 years or less",NA,"Independent","Frequently","Cable news","Yes","In between","Rarely","Neither is committed","Strongly support","Strongly support","Undecided","Strongly support","A great deal","Yes","Increased my motivation to vote","Yes","1","0","0","0","1","0","0","0","0","1","0","Elizabeth Warren","Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"Trade/technical/vocational training, Associate degree, college degree, or more","10 years or less",NA,"Independent","Occasionally","Local TV news","Yes","Wrong track","Rarely","Don't know / No opinion","Strongly support","Strongly support","Support","Support","Somewhat","Yes","No impact","No","1","0","0","0","1","0","1","0","0","0","0","Donald Trump","Approve"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"Trade/technical/vocational training, Associate degree, college degree, or more","10 years or less",NA,"Independent","Never","Local TV news","Yes","Wrong track","Rarely","Don't know / No opinion","Support","Support","Strongly support","Strongly support","Somewhat","Yes","No impact","No","0","0","0","1","0","0","1","1","0","0","0","Don't Know / Would not vote","Approve"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"Trade/technical/vocational training, Associate degree, college degree, or more","10 years or less",NA,"Independent","Rarely","Do not read / watch / listen to the news","No","No opinion","Don't know / No opinion","Don't know / No opinion","Undecided","Undecided","Undecided","Undecided","Not sure","Don't know / No opinion","No impact","No","0","1","0","0","1","0","1","0","0","0","0","Don't Know / Would not vote","No opinion"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"Trade/technical/vocational training, Associate degree, college degree, or more","10 years or less",NA,"Independent","Rarely","Local TV news","Yes","In between","Rarely","They're equally committed","Support","Strongly support","Undecided","Strongly support","Not at all","Yes","No impact","No","1","0","0","1","1","0","0","0","0","0","0","Joe Biden","Disapprove"
"36 or older",FALSE,TRUE,FALSE,FALSE,TRUE,"Trade/technical/vocational training, Associate degree, college degree, or more","10 years or less",NA,"Independent","Never","Local TV news",NA,"Wrong track","Rarely","Neither is committed","Strongly support","Support","Oppose","Strongly support","Not at all","Yes","Slightly increased my motivation to vote","Yes","0","0","0","0","1","0","0","0","1","0","1","Bernie Sanders","Disapprove"
